deliveryStart,deliveryEnd,deliveryDate,timeEnding,demand,dstFlag
2025-05-31T23:30:00-05:00,2025-05-31T23:45:00-05:00,2025-05-31,23:45,55739.6419,N
2025-05-31T23:15:00-05:00,2025-05-31T23:30:00-05:00,2025-05-31,23:30,55988.1901,N
2025-05-31T23:00:00-05:00,2025-05-31T23:15:00-05:00,2025-05-31,23:15,56436.4609,N
2025-05-31T22:45:00-05:00,2025-05-31T23:00:00-05:00,2025-05-31,23:00,56987.0677,N
2025-05-31T22:30:00-05:00,2025-05-31T22:45:00-05:00,2025-05-31,22:45,57877.6159,N
2025-05-31T22:15:00-05:00,2025-05-31T22:30:00-05:00,2025-05-31,22:30,58468.9115,N
2025-05-31T22:00:00-05:00,2025-05-31T22:15:00-05:00,2025-05-31,22:15,59145.1563,N
2025-05-31T21:45:00-05:00,2025-05-31T22:00:00-05:00,2025-05-31,22:00,60141.5247,N
2025-05-31T21:30:00-05:00,2025-05-31T21:45:00-05:00,2025-05-31,21:45,60479.2617,N
2025-05-31T21:15:00-05:00,2025-05-31T21:30:00-05:00,2025-05-31,21:30,61143.8138,N
2025-05-31T21:00:00-05:00,2025-05-31T21:15:00-05:00,2025-05-31,21:15,61232.8503,N
2025-05-31T20:45:00-05:00,2025-05-31T21:00:00-05:00,2025-05-31,21:00,61469.9375,N
2025-05-31T20:30:00-05:00,2025-05-31T20:45:00-05:00,2025-05-31,20:45,61473.0182,N
2025-05-31T20:15:00-05:00,2025-05-31T20:30:00-05:00,2025-05-31,20:30,61585.6367,N
2025-05-31T20:00:00-05:00,2025-05-31T20:15:00-05:00,2025-05-31,20:15,61873.1367,N
2025-05-31T19:45:00-05:00,2025-05-31T20:00:00-05:00,2025-05-31,20:00,62118.3086,N
2025-05-31T19:30:00-05:00,2025-05-31T19:45:00-05:00,2025-05-31,19:45,63495.2344,N
2025-05-31T19:15:00-05:00,2025-05-31T19:30:00-05:00,2025-05-31,19:30,64783.6471,N
2025-05-31T19:00:00-05:00,2025-05-31T19:15:00-05:00,2025-05-31,19:15,65728.8568,N
2025-05-31T18:45:00-05:00,2025-05-31T19:00:00-05:00,2025-05-31,19:00,66832.8516,N
2025-05-31T18:30:00-05:00,2025-05-31T18:45:00-05:00,2025-05-31,18:45,67683.6146,N
2025-05-31T18:15:00-05:00,2025-05-31T18:30:00-05:00,2025-05-31,18:30,67981.2943,N
2025-05-31T18:00:00-05:00,2025-05-31T18:15:00-05:00,2025-05-31,18:15,68374.1536,N
2025-05-31T17:45:00-05:00,2025-05-31T18:00:00-05:00,2025-05-31,18:00,69022.401,N
2025-05-31T17:30:00-05:00,2025-05-31T17:45:00-05:00,2025-05-31,17:45,69323.7344,N
2025-05-31T17:15:00-05:00,2025-05-31T17:30:00-05:00,2025-05-31,17:30,68947.0286,N
2025-05-31T17:00:00-05:00,2025-05-31T17:15:00-05:00,2025-05-31,17:15,68874.8776,N
2025-05-31T16:45:00-05:00,2025-05-31T17:00:00-05:00,2025-05-31,17:00,68894.0703,N
2025-05-31T16:30:00-05:00,2025-05-31T16:45:00-05:00,2025-05-31,16:45,68983.2135,N
2025-05-31T16:15:00-05:00,2025-05-31T16:30:00-05:00,2025-05-31,16:30,68550.2708,N
2025-05-31T16:00:00-05:00,2025-05-31T16:15:00-05:00,2025-05-31,16:15,68419.8542,N
2025-05-31T15:45:00-05:00,2025-05-31T16:00:00-05:00,2025-05-31,16:00,68421.901,N
2025-05-31T15:30:00-05:00,2025-05-31T15:45:00-05:00,2025-05-31,15:45,68233.3568,N
2025-05-31T15:15:00-05:00,2025-05-31T15:30:00-05:00,2025-05-31,15:30,67574.7344,N
2025-05-31T15:00:00-05:00,2025-05-31T15:15:00-05:00,2025-05-31,15:15,66921.4974,N
2025-05-31T14:45:00-05:00,2025-05-31T15:00:00-05:00,2025-05-31,15:00,66607.5859,N
2025-05-31T14:30:00-05:00,2025-05-31T14:45:00-05:00,2025-05-31,14:45,66062.2474,N
2025-05-31T14:15:00-05:00,2025-05-31T14:30:00-05:00,2025-05-31,14:30,65613.7643,N
2025-05-31T14:00:00-05:00,2025-05-31T14:15:00-05:00,2025-05-31,14:15,64995.4102,N
2025-05-31T13:45:00-05:00,2025-05-31T14:00:00-05:00,2025-05-31,14:00,64421.1628,N
2025-05-31T13:30:00-05:00,2025-05-31T13:45:00-05:00,2025-05-31,13:45,64097.1836,N
2025-05-31T13:15:00-05:00,2025-05-31T13:30:00-05:00,2025-05-31,13:30,63492.8893,N
2025-05-31T13:00:00-05:00,2025-05-31T13:15:00-05:00,2025-05-31,13:15,62829.974,N
2025-05-31T12:45:00-05:00,2025-05-31T13:00:00-05:00,2025-05-31,13:00,62274.1198,N
2025-05-31T12:30:00-05:00,2025-05-31T12:45:00-05:00,2025-05-31,12:45,61568.5872,N
2025-05-31T12:15:00-05:00,2025-05-31T12:30:00-05:00,2025-05-31,12:30,60871.25,N
2025-05-31T12:00:00-05:00,2025-05-31T12:15:00-05:00,2025-05-31,12:15,60189.987,N
2025-05-31T11:45:00-05:00,2025-05-31T12:00:00-05:00,2025-05-31,12:00,59777.1862,N
2025-05-31T11:30:00-05:00,2025-05-31T11:45:00-05:00,2025-05-31,11:45,59117.8008,N
2025-05-31T11:15:00-05:00,2025-05-31T11:30:00-05:00,2025-05-31,11:30,58658.8594,N
2025-05-31T11:00:00-05:00,2025-05-31T11:15:00-05:00,2025-05-31,11:15,57731.6302,N
2025-05-31T10:45:00-05:00,2025-05-31T11:00:00-05:00,2025-05-31,11:00,57307.668,N
2025-05-31T10:30:00-05:00,2025-05-31T10:45:00-05:00,2025-05-31,10:45,57235.806,N
2025-05-31T10:15:00-05:00,2025-05-31T10:30:00-05:00,2025-05-31,10:30,56896.3346,N
2025-05-31T10:00:00-05:00,2025-05-31T10:15:00-05:00,2025-05-31,10:15,56251.3516,N
2025-05-31T09:45:00-05:00,2025-05-31T10:00:00-05:00,2025-05-31,10:00,55580.9154,N
2025-05-31T09:30:00-05:00,2025-05-31T09:45:00-05:00,2025-05-31,09:45,55040.7865,N
2025-05-31T09:15:00-05:00,2025-05-31T09:30:00-05:00,2025-05-31,09:30,54084.0078,N
2025-05-31T09:00:00-05:00,2025-05-31T09:15:00-05:00,2025-05-31,09:15,53302.4609,N
2025-05-31T08:45:00-05:00,2025-05-31T09:00:00-05:00,2025-05-31,09:00,52399.3958,N
2025-05-31T08:30:00-05:00,2025-05-31T08:45:00-05:00,2025-05-31,08:45,51400.2227,N
2025-05-31T08:15:00-05:00,2025-05-31T08:30:00-05:00,2025-05-31,08:30,50426.6107,N
2025-05-31T08:00:00-05:00,2025-05-31T08:15:00-05:00,2025-05-31,08:15,49487.7227,N
2025-05-31T07:45:00-05:00,2025-05-31T08:00:00-05:00,2025-05-31,08:00,47974.7591,N
2025-05-31T07:30:00-05:00,2025-05-31T07:45:00-05:00,2025-05-31,07:45,47114.6471,N
2025-05-31T07:15:00-05:00,2025-05-31T07:30:00-05:00,2025-05-31,07:30,46230.487,N
2025-05-31T07:00:00-05:00,2025-05-31T07:15:00-05:00,2025-05-31,07:15,45576.7695,N
2025-05-31T06:45:00-05:00,2025-05-31T07:00:00-05:00,2025-05-31,07:00,45021.4049,N
2025-05-31T06:30:00-05:00,2025-05-31T06:45:00-05:00,2025-05-31,06:45,44874.7109,N
2025-05-31T06:15:00-05:00,2025-05-31T06:30:00-05:00,2025-05-31,06:30,44969.5365,N
2025-05-31T06:00:00-05:00,2025-05-31T06:15:00-05:00,2025-05-31,06:15,45036.8724,N
2025-05-31T05:45:00-05:00,2025-05-31T06:00:00-05:00,2025-05-31,06:00,44879.7383,N
2025-05-31T05:30:00-05:00,2025-05-31T05:45:00-05:00,2025-05-31,05:45,44777.7747,N
2025-05-31T05:15:00-05:00,2025-05-31T05:30:00-05:00,2025-05-31,05:30,44738.0417,N
2025-05-31T05:00:00-05:00,2025-05-31T05:15:00-05:00,2025-05-31,05:15,44560.0365,N
2025-05-31T04:45:00-05:00,2025-05-31T05:00:00-05:00,2025-05-31,05:00,44621.4036,N
2025-05-31T04:30:00-05:00,2025-05-31T04:45:00-05:00,2025-05-31,04:45,44901.5703,N
2025-05-31T04:15:00-05:00,2025-05-31T04:30:00-05:00,2025-05-31,04:30,45065.9557,N
2025-05-31T04:00:00-05:00,2025-05-31T04:15:00-05:00,2025-05-31,04:15,45134.8268,N
2025-05-31T03:45:00-05:00,2025-05-31T04:00:00-05:00,2025-05-31,04:00,44997.7122,N
2025-05-31T03:30:00-05:00,2025-05-31T03:45:00-05:00,2025-05-31,03:45,45136.7474,N
2025-05-31T03:15:00-05:00,2025-05-31T03:30:00-05:00,2025-05-31,03:30,45602.8151,N
2025-05-31T03:00:00-05:00,2025-05-31T03:15:00-05:00,2025-05-31,03:15,45865.8841,N
2025-05-31T02:45:00-05:00,2025-05-31T03:00:00-05:00,2025-05-31,03:00,46159.5078,N
2025-05-31T02:30:00-05:00,2025-05-31T02:45:00-05:00,2025-05-31,02:45,46465.0911,N
2025-05-31T02:15:00-05:00,2025-05-31T02:30:00-05:00,2025-05-31,02:30,46636.056,N
2025-05-31T02:00:00-05:00,2025-05-31T02:15:00-05:00,2025-05-31,02:15,46939.168,N
2025-05-31T01:45:00-05:00,2025-05-31T02:00:00-05:00,2025-05-31,02:00,47289.9609,N
2025-05-31T01:30:00-05:00,2025-05-31T01:45:00-05:00,2025-05-31,01:45,47670.8294,N
2025-05-31T01:15:00-05:00,2025-05-31T01:30:00-05:00,2025-05-31,01:30,47968.9909,N
2025-05-31T01:00:00-05:00,2025-05-31T01:15:00-05:00,2025-05-31,01:15,48592.8711,N
2025-05-31T00:45:00-05:00,2025-05-31T01:00:00-05:00,2025-05-31,01:00,49288.3698,N
2025-05-31T00:30:00-05:00,2025-05-31T00:45:00-05:00,2025-05-31,00:45,49840.3815,N
2025-05-31T00:15:00-05:00,2025-05-31T00:30:00-05:00,2025-05-31,00:30,50266.5156,N
2025-05-31T00:00:00-05:00,2025-05-31T00:15:00-05:00,2025-05-31,00:15,50732.1875,N
2025-05-30T23:45:00-05:00,2025-05-31T00:00:00-05:00,2025-05-31,00:00,51506.4479,N
2025-05-30T23:30:00-05:00,2025-05-30T23:45:00-05:00,2025-05-30,23:45,52126.2682,N
2025-05-30T23:15:00-05:00,2025-05-30T23:30:00-05:00,2025-05-30,23:30,52746.5495,N
2025-05-30T23:00:00-05:00,2025-05-30T23:15:00-05:00,2025-05-30,23:15,53408.5039,N
2025-05-30T22:45:00-05:00,2025-05-30T23:00:00-05:00,2025-05-30,23:00,53934.5898,N
2025-05-30T22:30:00-05:00,2025-05-30T22:45:00-05:00,2025-05-30,22:45,54434.7682,N
2025-05-30T22:15:00-05:00,2025-05-30T22:30:00-05:00,2025-05-30,22:30,55072.1706,N
2025-05-30T22:00:00-05:00,2025-05-30T22:15:00-05:00,2025-05-30,22:15,55290.1016,N
2025-05-30T21:45:00-05:00,2025-05-30T22:00:00-05:00,2025-05-30,22:00,55552.8893,N
2025-05-30T21:30:00-05:00,2025-05-30T21:45:00-05:00,2025-05-30,21:45,55630.1497,N
2025-05-30T21:15:00-05:00,2025-05-30T21:30:00-05:00,2025-05-30,21:30,55967.8047,N
2025-05-30T21:00:00-05:00,2025-05-30T21:15:00-05:00,2025-05-30,21:15,56587.6654,N
2025-05-30T20:45:00-05:00,2025-05-30T21:00:00-05:00,2025-05-30,21:00,57447.9245,N
2025-05-30T20:30:00-05:00,2025-05-30T20:45:00-05:00,2025-05-30,20:45,57805.6589,N
2025-05-30T20:15:00-05:00,2025-05-30T20:30:00-05:00,2025-05-30,20:30,58867.776,N
2025-05-30T20:00:00-05:00,2025-05-30T20:15:00-05:00,2025-05-30,20:15,59455.8177,N
2025-05-30T19:45:00-05:00,2025-05-30T20:00:00-05:00,2025-05-30,20:00,60176.4635,N
2025-05-30T19:30:00-05:00,2025-05-30T19:45:00-05:00,2025-05-30,19:45,60973.6198,N
2025-05-30T19:15:00-05:00,2025-05-30T19:30:00-05:00,2025-05-30,19:30,61498.3112,N
2025-05-30T19:00:00-05:00,2025-05-30T19:15:00-05:00,2025-05-30,19:15,62346.0482,N
2025-05-30T18:45:00-05:00,2025-05-30T19:00:00-05:00,2025-05-30,19:00,62780.1602,N
2025-05-30T18:30:00-05:00,2025-05-30T18:45:00-05:00,2025-05-30,18:45,63895.5586,N
2025-05-30T18:15:00-05:00,2025-05-30T18:30:00-05:00,2025-05-30,18:30,64409.7305,N
2025-05-30T18:00:00-05:00,2025-05-30T18:15:00-05:00,2025-05-30,18:15,65076.7292,N
2025-05-30T17:45:00-05:00,2025-05-30T18:00:00-05:00,2025-05-30,18:00,65351.5951,N
2025-05-30T17:30:00-05:00,2025-05-30T17:45:00-05:00,2025-05-30,17:45,65487.2982,N
2025-05-30T17:15:00-05:00,2025-05-30T17:30:00-05:00,2025-05-30,17:30,65485.7018,N
2025-05-30T17:00:00-05:00,2025-05-30T17:15:00-05:00,2025-05-30,17:15,65623.7396,N
2025-05-30T16:45:00-05:00,2025-05-30T17:00:00-05:00,2025-05-30,17:00,65579.5,N
2025-05-30T16:30:00-05:00,2025-05-30T16:45:00-05:00,2025-05-30,16:45,65296.599,N
2025-05-30T16:15:00-05:00,2025-05-30T16:30:00-05:00,2025-05-30,16:30,64955.1836,N
2025-05-30T16:00:00-05:00,2025-05-30T16:15:00-05:00,2025-05-30,16:15,64408.4792,N
2025-05-30T15:45:00-05:00,2025-05-30T16:00:00-05:00,2025-05-30,16:00,63909.6198,N
2025-05-30T15:30:00-05:00,2025-05-30T15:45:00-05:00,2025-05-30,15:45,63806.1289,N
2025-05-30T15:15:00-05:00,2025-05-30T15:30:00-05:00,2025-05-30,15:30,63303.0716,N
2025-05-30T15:00:00-05:00,2025-05-30T15:15:00-05:00,2025-05-30,15:15,62915.276,N
2025-05-30T14:45:00-05:00,2025-05-30T15:00:00-05:00,2025-05-30,15:00,62857.3997,N
2025-05-30T14:30:00-05:00,2025-05-30T14:45:00-05:00,2025-05-30,14:45,62251.8984,N
2025-05-30T14:15:00-05:00,2025-05-30T14:30:00-05:00,2025-05-30,14:30,61540.8529,N
2025-05-30T14:00:00-05:00,2025-05-30T14:15:00-05:00,2025-05-30,14:15,60744.5482,N
2025-05-30T13:45:00-05:00,2025-05-30T14:00:00-05:00,2025-05-30,14:00,60132.6237,N
2025-05-30T13:30:00-05:00,2025-05-30T13:45:00-05:00,2025-05-30,13:45,59487.6016,N
2025-05-30T13:15:00-05:00,2025-05-30T13:30:00-05:00,2025-05-30,13:30,58543.6927,N
2025-05-30T13:00:00-05:00,2025-05-30T13:15:00-05:00,2025-05-30,13:15,58338.0286,N
2025-05-30T12:45:00-05:00,2025-05-30T13:00:00-05:00,2025-05-30,13:00,57688.9193,N
2025-05-30T12:30:00-05:00,2025-05-30T12:45:00-05:00,2025-05-30,12:45,57475.0,N
2025-05-30T12:15:00-05:00,2025-05-30T12:30:00-05:00,2025-05-30,12:30,57352.8503,N
2025-05-30T12:00:00-05:00,2025-05-30T12:15:00-05:00,2025-05-30,12:15,57105.5729,N
2025-05-30T11:45:00-05:00,2025-05-30T12:00:00-05:00,2025-05-30,12:00,56782.8138,N
2025-05-30T11:30:00-05:00,2025-05-30T11:45:00-05:00,2025-05-30,11:45,56245.7904,N
2025-05-30T11:15:00-05:00,2025-05-30T11:30:00-05:00,2025-05-30,11:30,56059.4779,N
2025-05-30T11:00:00-05:00,2025-05-30T11:15:00-05:00,2025-05-30,11:15,55942.8099,N
2025-05-30T10:45:00-05:00,2025-05-30T11:00:00-05:00,2025-05-30,11:00,56336.7552,N
2025-05-30T10:30:00-05:00,2025-05-30T10:45:00-05:00,2025-05-30,10:45,56278.7708,N
2025-05-30T10:15:00-05:00,2025-05-30T10:30:00-05:00,2025-05-30,10:30,55837.7695,N
2025-05-30T10:00:00-05:00,2025-05-30T10:15:00-05:00,2025-05-30,10:15,55477.6081,N
2025-05-30T09:45:00-05:00,2025-05-30T10:00:00-05:00,2025-05-30,10:00,55291.8451,N
2025-05-30T09:30:00-05:00,2025-05-30T09:45:00-05:00,2025-05-30,09:45,54720.6771,N
2025-05-30T09:15:00-05:00,2025-05-30T09:30:00-05:00,2025-05-30,09:30,54490.9557,N
2025-05-30T09:00:00-05:00,2025-05-30T09:15:00-05:00,2025-05-30,09:15,53333.8047,N
2025-05-30T08:45:00-05:00,2025-05-30T09:00:00-05:00,2025-05-30,09:00,52367.5378,N
2025-05-30T08:30:00-05:00,2025-05-30T08:45:00-05:00,2025-05-30,08:45,51551.6745,N
2025-05-30T08:15:00-05:00,2025-05-30T08:30:00-05:00,2025-05-30,08:30,51292.6901,N
2025-05-30T08:00:00-05:00,2025-05-30T08:15:00-05:00,2025-05-30,08:15,50724.3815,N
2025-05-30T07:45:00-05:00,2025-05-30T08:00:00-05:00,2025-05-30,08:00,50722.1419,N
2025-05-30T07:30:00-05:00,2025-05-30T07:45:00-05:00,2025-05-30,07:45,50003.4427,N
2025-05-30T07:15:00-05:00,2025-05-30T07:30:00-05:00,2025-05-30,07:30,49613.7318,N
2025-05-30T07:00:00-05:00,2025-05-30T07:15:00-05:00,2025-05-30,07:15,49326.2552,N
2025-05-30T06:45:00-05:00,2025-05-30T07:00:00-05:00,2025-05-30,07:00,48961.3021,N
2025-05-30T06:30:00-05:00,2025-05-30T06:45:00-05:00,2025-05-30,06:45,48767.6237,N
2025-05-30T06:15:00-05:00,2025-05-30T06:30:00-05:00,2025-05-30,06:30,48581.6797,N
2025-05-30T06:00:00-05:00,2025-05-30T06:15:00-05:00,2025-05-30,06:15,48285.1042,N
2025-05-30T05:45:00-05:00,2025-05-30T06:00:00-05:00,2025-05-30,06:00,48275.0052,N
2025-05-30T05:30:00-05:00,2025-05-30T05:45:00-05:00,2025-05-30,05:45,48365.6771,N
2025-05-30T05:15:00-05:00,2025-05-30T05:30:00-05:00,2025-05-30,05:30,48519.8919,N
2025-05-30T05:00:00-05:00,2025-05-30T05:15:00-05:00,2025-05-30,05:15,48595.3529,N
2025-05-30T04:45:00-05:00,2025-05-30T05:00:00-05:00,2025-05-30,05:00,48480.3906,N
2025-05-30T04:30:00-05:00,2025-05-30T04:45:00-05:00,2025-05-30,04:45,48238.2122,N
2025-05-30T04:15:00-05:00,2025-05-30T04:30:00-05:00,2025-05-30,04:30,48569.5352,N
2025-05-30T04:00:00-05:00,2025-05-30T04:15:00-05:00,2025-05-30,04:15,49044.8359,N
2025-05-30T03:45:00-05:00,2025-05-30T04:00:00-05:00,2025-05-30,04:00,49625.5169,N
2025-05-30T03:30:00-05:00,2025-05-30T03:45:00-05:00,2025-05-30,03:45,49334.8281,N
2025-05-30T03:15:00-05:00,2025-05-30T03:30:00-05:00,2025-05-30,03:30,49164.9701,N
2025-05-30T03:00:00-05:00,2025-05-30T03:15:00-05:00,2025-05-30,03:15,49068.7747,N
2025-05-30T02:45:00-05:00,2025-05-30T03:00:00-05:00,2025-05-30,03:00,49232.8568,N
2025-05-30T02:30:00-05:00,2025-05-30T02:45:00-05:00,2025-05-30,02:45,49500.7513,N
2025-05-30T02:15:00-05:00,2025-05-30T02:30:00-05:00,2025-05-30,02:30,49939.7005,N
2025-05-30T02:00:00-05:00,2025-05-30T02:15:00-05:00,2025-05-30,02:15,50309.8229,N
2025-05-30T01:45:00-05:00,2025-05-30T02:00:00-05:00,2025-05-30,02:00,50336.0872,N
2025-05-30T01:30:00-05:00,2025-05-30T01:45:00-05:00,2025-05-30,01:45,50572.612,N
2025-05-30T01:15:00-05:00,2025-05-30T01:30:00-05:00,2025-05-30,01:30,50986.6289,N
2025-05-30T01:00:00-05:00,2025-05-30T01:15:00-05:00,2025-05-30,01:15,51542.1979,N
2025-05-30T00:45:00-05:00,2025-05-30T01:00:00-05:00,2025-05-30,01:00,52217.0521,N
2025-05-30T00:30:00-05:00,2025-05-30T00:45:00-05:00,2025-05-30,00:45,52690.9792,N
2025-05-30T00:15:00-05:00,2025-05-30T00:30:00-05:00,2025-05-30,00:30,53351.457,N
2025-05-30T00:00:00-05:00,2025-05-30T00:15:00-05:00,2025-05-30,00:15,54194.2878,N
2025-05-29T23:45:00-05:00,2025-05-30T00:00:00-05:00,2025-05-30,00:00,55133.4688,N
2025-05-29T23:30:00-05:00,2025-05-29T23:45:00-05:00,2025-05-29,23:45,56203.0299,N
2025-05-29T23:15:00-05:00,2025-05-29T23:30:00-05:00,2025-05-29,23:30,57243.9336,N
2025-05-29T23:00:00-05:00,2025-05-29T23:15:00-05:00,2025-05-29,23:15,58744.7005,N
2025-05-29T22:45:00-05:00,2025-05-29T23:00:00-05:00,2025-05-29,23:00,59116.0286,N
2025-05-29T22:30:00-05:00,2025-05-29T22:45:00-05:00,2025-05-29,22:45,59964.6602,N
2025-05-29T22:15:00-05:00,2025-05-29T22:30:00-05:00,2025-05-29,22:30,60712.0313,N
2025-05-29T22:00:00-05:00,2025-05-29T22:15:00-05:00,2025-05-29,22:15,61393.9492,N
2025-05-29T21:45:00-05:00,2025-05-29T22:00:00-05:00,2025-05-29,22:00,62460.3333,N
2025-05-29T21:30:00-05:00,2025-05-29T21:45:00-05:00,2025-05-29,21:45,63158.4766,N
2025-05-29T21:15:00-05:00,2025-05-29T21:30:00-05:00,2025-05-29,21:30,63836.8594,N
2025-05-29T21:00:00-05:00,2025-05-29T21:15:00-05:00,2025-05-29,21:15,64585.2344,N
2025-05-29T20:45:00-05:00,2025-05-29T21:00:00-05:00,2025-05-29,21:00,65191.2409,N
2025-05-29T20:30:00-05:00,2025-05-29T20:45:00-05:00,2025-05-29,20:45,65465.0456,N
2025-05-29T20:15:00-05:00,2025-05-29T20:30:00-05:00,2025-05-29,20:30,65922.6901,N
2025-05-29T20:00:00-05:00,2025-05-29T20:15:00-05:00,2025-05-29,20:15,66377.7708,N
2025-05-29T19:45:00-05:00,2025-05-29T20:00:00-05:00,2025-05-29,20:00,67176.8073,N
2025-05-29T19:30:00-05:00,2025-05-29T19:45:00-05:00,2025-05-29,19:45,67760.763,N
2025-05-29T19:15:00-05:00,2025-05-29T19:30:00-05:00,2025-05-29,19:30,68455.9974,N
